hh_id,weight,survey_mode,survey_language,survey_complete_date,is_complete,num_days_complete,reported_home_cms_zone,missing_home_location,first_travel_date,last_travel_date,num_bicycles,bicycle_type_standard,bicycle_type_electric,bicycle_type_other,bicycle_store_house,bicycle_store_rack,bicycle_store_locker,bicycle_store_secured_bike_room,bicycle_store_object,bicycle_store_docking_station,bicycle_store_street,bicycle_store_garage,bicycle_store_other,num_vehicles,vehicle_change,reduced_vehicle_cost,reduced_vehicle_parking,reduced_vehicle_no_need,reduced_vehicle_ridehailing,reduced_vehicle_carshare,reduced_vehicle_transit,reduced_vehicle_nyc_driving,reduced_vehicle_other,increased_vehicle_new_driver,increased_vehicle_transport_hh_member,increased_vehicle_moved,increased_vehicle_job,increased_vehicle_unreliable,increased_vehicle_flexibility,increased_vehicle_other,res_type,rent_own,income_detailed,income_aggregate,num_participants,num_people,num_adults,num_kids,num_workers,num_students,num_trips
19732656,222.77,1,English,06/25/2019,1,7,Inner Brooklyn,0,06/18/2019,06/24/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,5,2,7,5,1,1,1,0,1,0,53
19973014,224.13107,1,English,06/20/2019,1,7,Inner Brooklyn,0,06/13/2019,06/19/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,1,1,1,0,0,0,0,1,0,995,995,995,995,995,995,995,5,2,5,3,1,2,2,0,2,0,24
19328953,238.81603,1,English,06/02/2019,1,7,Inner Brooklyn,0,05/25/2019,05/31/2019,2,1,0,0,1,0,0,0,0,0,0,0,0,1,2,995,995,995,995,995,995,995,995,0,0,0,0,1,1,0,4,2,999,999,1,2,2,0,2,0,8
19915209,222.82065,1,English,06/15/2019,1,6,Inner Brooklyn,0,06/08/2019,06/14/2019,1,1,0,0,1,0,0,0,0,0,0,0,0,1,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,6,1,10,6,1,2,2,0,2,0,42
19282504,196.62083,1,English,06/11/2019,1,7,Inner Brooklyn,0,06/04/2019,06/10/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,1,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,2,1,999,999,1,2,2,0,1,0,50
19244739,237.98473,1,English,05/28/2019,1,3,Inner Brooklyn,0,05/24/2019,05/30/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,2,2,995,995,995,995,995,995,995,995,1,0,0,0,0,0,0,-9998,-9998,2,1,1,5,5,0,4,0,86
19064848,231.48261,1,English,06/14/2019,1,7,Inner Brooklyn,0,06/06/2019,06/12/2019,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3,2,9,6,1,3,2,1,2,1,27
19047695,222.77,1,English,06/14/2019,1,6,Inner Brooklyn,0,06/07/2019,06/13/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,5,2,5,3,1,1,1,0,1,0,43
19666581,3345.83478,1,English,06/18/2019,1,3,Manhattan Core,0,06/11/2019,06/17/2019,2,1,0,0,1,1,0,1,1,0,0,0,0,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,6,1,999,999,1,3,2,1,2,1,49
19629219,222.77,1,English,06/26/2019,1,7,Inner Brooklyn,0,06/19/2019,06/25/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3,2,5,3,1,1,1,0,1,0,56
19678748,224.43884,1,English,06/25/2019,1,6,Inner Brooklyn,0,06/18/2019,06/24/2019,3,1,0,0,1,0,0,0,0,0,0,0,0,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3,1,7,5,1,3,2,1,2,1,25
19530649,219.65591,1,English,06/14/2019,1,6,Inner Brooklyn,0,06/07/2019,06/13/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,6,2,5,3,1,2,2,0,2,1,33
19642491,222.80109,1,English,06/15/2019,1,5,Inner Brooklyn,0,06/08/2019,06/14/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,6,2,5,3,1,1,1,0,1,0,65
19718151,222.63411,1,English,06/18/2019,1,4,Inner Brooklyn,0,06/11/2019,06/17/2019,3,1,0,0,1,0,0,0,0,0,0,0,0,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3,1,8,5,1,4,4,0,2,2,53
19271525,401.79586,1,English,06/10/2019,1,1,Manhattan Core,0,06/03/2019,06/09/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,1,-9998,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,-9998,-9998,4,2,1,2,2,0,2,0,65
19417003,238.4906,1,English,06/15/2019,1,7,Inner Brooklyn,0,06/08/2019,06/14/2019,1,1,0,0,0,1,0,0,0,0,0,0,0,1,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,5,2,999,999,1,1,1,0,1,0,34
19451529,222.77,1,English,06/12/2019,1,6,Inner Brooklyn,0,06/05/2019,06/11/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,1,1,1,1,0,0,0,0,0,995,995,995,995,995,995,995,5,2,8,5,1,3,3,0,3,0,54
19666500,69337.95783,1,English,06/14/2019,1,7,Inner Brooklyn,0,06/07/2019,06/13/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,4,2,2,1,1,4,4,0,3,0,32
19599051,223.07397,1,English,06/09/2019,1,6,Inner Brooklyn,0,06/02/2019,06/08/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,1,0,0,0,0,0,1,0,0,995,995,995,995,995,995,995,6,2,5,3,1,2,2,0,2,0,44
19025330,223.4684,1,English,06/07/2019,1,7,Inner Brooklyn,0,05/31/2019,06/06/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,1,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3,999,999,999,1,3,2,1,1,1,15
19891986,223.16545,1,English,06/15/2019,1,6,Inner Brooklyn,0,06/08/2019,06/14/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,1,1,1,0,0,0,0,0,0,995,995,995,995,995,995,995,4,1,5,3,1,1,1,0,1,0,13
19871807,229.84454,1,English,06/13/2019,1,7,Inner Brooklyn,0,06/06/2019,06/12/2019,1,1,0,0,1,0,0,0,0,0,0,0,0,1,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,997,997,10,6,1,3,2,1,1,2,38
